SECTION_ID,ACTIVE_FLAG,CREATED_BY,CREATED_DATE,END_X,END_Y,SECTION_DESC,SECTION_NAME,START_X,START_Y,UPDATED_BY,UPDATED_DATE,LAYOUT_ID
1,TRUE,admin,,22.5,11.5,Section for Greens,Greens,12.5,2.5,admin,,1
2,TRUE,admin,,35,11.5,Section for Lettuce,Lettuce,25,2.5,admin,,1
3,TRUE,admin,,55.5,11.5,Section for Cherry Tomato,Cherry Tomato,37.5,2.5,admin,,1
4,TRUE,admin,,55.5,20,Section for Bean,Bean,12.5,15,admin,,1
5,TRUE,admin,,55.5,27.5,Section for Tomato,Tomato,12.5,22.5,admin,,1
6,TRUE,admin,,95,49,Section for Cucumber,Cucumber,5,5,admin,,2
7,TRUE,admin,,22.5,11.5,Section for Greens,Greens,12.5,2.5,admin,,3
8,TRUE,admin,,35,11.5,Section for Lettuce,Lettuce,25,2.5,admin,,3
9,TRUE,admin,,55.5,11.5,Section for Cherry Tomato,Cherry Tomato,37.5,2.5,admin,,3
10,TRUE,admin,,55.5,20,Section for Bean,Bean,12.5,15,admin,,3
11,TRUE,admin,,55.5,27.5,Section for Tomato,Tomato,12.5,22.5,admin,,3
12,TRUE,admin,,48,7.5,Section for Tomato Lines,Tomato Lines,5,2.5,admin,,4
13,TRUE,admin,,95,15,Section for Cucumber Row,Cucumber Row,5,3,admin,,5
